ID,Species,Group,Area,Survey,Type,Value,Harbour,POINT_X,POINT_Y
646,Great Blue Heron,Herons,A,Mar-98,Count,3,Esquimalt,467269.8472,5365648.176
647,Mute Swan,Waterfowl,A,Mar-98,Count,NA,Sooke,451124.9298,5358208.988
648,Canada Goose,Waterfowl,A,Mar-98,Count,11,Sooke,452721.5228,5358464.119
649,Wood Duck,Waterfowl,A,Mar-98,Count,NA,Sooke,450493.0649,5358402.104
650,Green-winged Teal,Waterfowl,A,Mar-98,Count,10,Sooke,449944.2974,5358203.571
651,Gadwall,Waterfowl,A,Mar-98,Count,NA,Sooke,450668.011,5357900.206
652,Mallard,Waterfowl,A,Mar-98,Count,50,Esquimalt,467525.8399,5364586.673
653,Northern Pintail,Waterfowl,A,Mar-98,Count,NA,Sooke,450028.0914,5358395.392
654,Eurasian Wigeon,Waterfowl,A,Mar-98,Count,1,Sooke,452520.0789,5358309.552
655,American Wigeon,Waterfowl,A,Mar-98,Count,75,Sooke,450649.5668,5359088.268
656,Canvasback,Waterfowl,A,Mar-98,Count,26,Sooke,451992.0442,5357809.286
657,Greater Scaup,Waterfowl,A,Mar-98,Count,NA,Esquimalt,467067.0099,5364514.144
658,Lesser Scaup,Waterfowl,A,Mar-98,Count,NA,Esquimalt,467201.8618,5364988.265
659,Scaup sp.,Waterfowl,A,Mar-98,Count,79,Esquimalt,466494.7032,5366753.651
660,Surf Scoter,Waterfowl,A,Mar-98,Count,NA,Esquimalt,466918.9529,5364789.868
661,Common Goldeneye,Waterfowl,A,Mar-98,Count,NA,Esquimalt,466829.181,5366534.703
662,Bufflehead,Waterfowl,A,Mar-98,Count,70,Esquimalt,467172.737,5366303.075
663,Hooded Merganser,Waterfowl,A,Mar-98,Count,2,Sooke,451658.0419,5359554.848
664,Common Merganser,Waterfowl,A,Mar-98,Count,39,Esquimalt,467875.7084,5365868.64
665,American Coot,Coots,A,Mar-98,Count,10,Esquimalt,468643.5016,5364632.201
666,Killdeer,Shorebirds,A,Mar-98,Count,NA,Esquimalt,468476.0416,5364514.978
667,Western Sandpiper,Shorebirds,A,Mar-98,Count,NA,Sooke,450107.2887,5357860.708
668,California Gull,Gulls and Terns,A,Mar-98,Count,NA,Esquimalt,467422.3756,5365031.327
669,Glaucous-winged Gull,Gulls and Terns,A,Mar-98,Count,101,Sooke,449679.298,5358705.322
670,Belted Kingfisher,Kingfishers,A,Mar-98,Count,NA,Sooke,452144.893,5358822.42
671,Double-crested Cormorant,Cormorants,B,Mar-98,Count,89,Sooke,451048.593,5357361.388
672,Great Blue Heron,Herons,B,Mar-98,Count,NA,Sooke,452321.8056,5358210.486
673,Trumpeter Swan,Waterfowl,B,Mar-98,Count,3,Esquimalt,468406.7146,5364335.335
674,Canada Goose,Waterfowl,B,Mar-98,Count,22,Sooke,452252.3585,5358879.468
675,Mallard,Waterfowl,B,Mar-98,Count,64,Esquimalt,468572.7683,5364648.325
676,Eurasian Wigeon,Waterfowl,B,Mar-98,Count,NA,Esquimalt,467116.1672,5366191.514
677,American Wigeon,Waterfowl,B,Mar-98,Count,47,Sooke,450143.868,5359318.872
678,Canvasback,Waterfowl,B,Mar-98,Count,1,Esquimalt,468160.7956,5364862.52
679,Greater Scaup,Waterfowl,B,Mar-98,Count,NA,Esquimalt,467556.07,5365758.24
680,scaup sp.,Waterfowl,B,Mar-98,Count,9,Esquimalt,467091.0558,5365067.826
681,Bufflehead,Waterfowl,B,Mar-98,Count,30,Esquimalt,467520.5134,5364547.797
682,Hooded Merganser,Waterfowl,B,Mar-98,Count,NA,Esquimalt,467060.0264,5365711.874
683,Common Merganser,Waterfowl,B,Mar-98,Count,2,Sooke,452675.2176,5358369.547
684,Red-breasted Merganser,Waterfowl,B,Mar-98,Count,NA,Sooke,451497.1333,5359876.163
685,Western Sandpiper,Shorebirds,B,Mar-98,Count,NA,Sooke,452522.9691,5359287.384
686,Least Sandpiper,Shorebirds,B,Mar-98,Count,NA,Sooke,451892.2139,5358554.677
687,Mew Gull,Gulls and Terns,B,Mar-98,Count,1,Esquimalt,467508.396,5365029.156
688,California Gull,Gulls and Terns,B,Mar-98,Count,NA,Sooke,451722.5088,5359127.679
689,Glaucous-winged Gull,Gulls and Terns,B,Mar-98,Count,18,Sooke,450984.3331,5357456.154
690,Belted Kingfisher,Kingfishers,B,Mar-98,Count,NA,Esquimalt,467911.7085,5364960.333
691,Red-throated Loon,Loons and Grebes,All,May-98,Count,NA,Sooke,449845.7575,5359245.31
692,Pacific Loon,Loons and Grebes,All,May-98,Count,1,Esquimalt,467357.1154,5366147.742
693,Common Loon,Loons and Grebes,All,May-98,Count,2,Sooke,452388.49,5358549.155
694,Yellow-billed Loon,Loons and Grebes,All,May-98,Count,NA,Esquimalt,467734.4018,5366222.642
695,Pied--bllled Grebe,Loons and Grebes,All,May-98,Count,NA,Sooke,450355.529,5359590.95
696,Eared Grebe,Loons and Grebes,All,May-98,Count,NA,Esquimalt,467200.0739,5365414.738
697,Red-necked Grebe,Loons and Grebes,All,May-98,Count,NA,Sooke,452126.5303,5358484.056
698,Horned Grebe,Loons and Grebes,All,May-98,Count,NA,Esquimalt,467391.253,5365254.434
699,Western Grebe,Loons and Grebes,All,May-98,Count,NA,Esquimalt,467352.9158,5364460.13
700,Double-crested Cormorant,Cormorants,All,May-98,Count,17,Esquimalt,467280.859,5366456.06
701,Brandt's Cormorant,Cormorants,All,May-98,Count,NA,Sooke,450123.5552,5358680.471
702,Pelagic Cormorant,Cormorants,All,May-98,Count,NA,Esquimalt,467469.5993,5366137.472
703,Great Blue Heron,Herons,All,May-98,Count,16,Esquimalt,467289.7836,5365054.101
704,Mute Swan,Waterfowl,All,May-98,Count,6,Sooke,450694.1219,5357763.002
705,Trumpeter Swan,Waterfowl,All,May-98,Count,NA,Esquimalt,466897.4163,5366256.137
706,Canada Goose,Waterfowl,All,May-98,Count,65,Esquimalt,466687.5873,5366887.376
707,Brant,Waterfowl,All,May-98,Count,NA,Sooke,451069.5282,5358452.377
708,Wood Duck,Waterfowl,All,May-98,Count,2,Esquimalt,467245.6094,5365788.949
709,Green-winged Teal,Waterfowl,All,May-98,Count,2,Sooke,450037.9461,5359401.907
710,Gadwall,Waterfowl,All,May-98,Count,NA,Sooke,451395.3191,5359044.465
711,Mallard,Waterfowl,All,May-98,Count,144,Sooke,452082.9467,5358141.645
712,Northern Pintail,Waterfowl,All,May-98,Count,NA,Sooke,450895.5188,5359716.231
713,Eurasian Wigeon,Waterfowl,All,May-98,Count,NA,Sooke,452365.6396,5357888.722
714,American Wigeon,Waterfowl,All,May-98,Count,NA,Esquimalt,466868.4051,5366550.171
715,Canvasback,Waterfowl,All,May-98,Count,NA,Esquimalt,466989.4984,5365851.581
716,Greater Scaup,Waterfowl,All,May-98,Count,11,Esquimalt,467578.1074,5364723.526
717,Lesser Scaup,Waterfowl,All,May-98,Count,NA,Esquimalt,467095.2669,5365425.528
718,scaup sp.,Waterfowl,All,May-98,Count,NA,Sooke,449271.3747,5358987.041
719,Harlequin Duck,Waterfowl,All,May-98,Count,NA,Esquimalt,467581.1001,5366151.646
720,Oldsquaw,Waterfowl,All,May-98,Count,NA,Sooke,450814.0446,5357453.457
721,Surf Seater,Waterfowl,All,May-98,Count,5,Sooke,452313.138,5358181.075
722,White-w inged Scoter,Waterfowl,All,May-98,Count,3,Sooke,452069.3439,5357543.482
723,Common Goldeneye,Waterfowl,All,May-98,Count,7,Sooke,452429.7019,5358327.794
724,Bufflehead,Waterfowl,All,May-98,Count,2,Esquimalt,467699.7917,5366277.084
725,Hooded Merganser,Waterfowl,All,May-98,Count,NA,Esquimalt,467573.0585,5364804.406
726,Common Merganser,Waterfowl,All,May-98,Count,NA,Sooke,451681.9643,5358452.364
727,Red-breasted Merganser,Waterfowl,All,May-98,Count,NA,Sooke,451363.1427,5357896.46
728,American Coot,Coots,All,May-98,Count,NA,Sooke,449731.1168,5359042.842
729,Semipalmated Plover,Shorebirds,All,May-98,Count,NA,Sooke,452114.7065,5358154.229
730,Killdeer,Shorebirds,All,May-98,Count,NA,Sooke,452097.2079,5357763.892
731,Black-bellied Plover,Shorebirds,All,May-98,Count,NA,Esquimalt,466792.804,5365447.82
732,Black Oystercatcher,Shorebirds,All,May-98,Count,4,Esquimalt,468352.5656,5364679.115
733,Greater Yellowlegs,Shorebirds,All,May-98,Count,1,Sooke,451400.685,5359491.179
734,Ruddy Turnstone,Shorebirds,All,May-98,Count,NA,Sooke,452477.1022,5359398.619
735,Black Turnstone,Shorebirds,All,May-98,Count,NA,Esquimalt,467261.2055,5366259.269
736,Dunlin,Shorebirds,All,May-98,Count,4,Sooke,450090.2074,5358658.79
737,Western Sandpiper,Shorebirds,All,May-98,Count,48,Sooke,450570.9686,5357456.009
738,Least Sandpiper,Shorebirds,All,May-98,Count,NA,Sooke,451707.7869,5359521.281
739,Sanderllng,Shorebirds,All,May-98,Count,NA,Sooke,449950.0618,5359177.025
740,Short-billed Dowitcher,Shorebirds,All,May-98,Count,NA,Esquimalt,468059.4222,5365148.997
741,Common Snipe,Shorebirds,All,May-98,Count,NA,Esquimalt,467517.2984,5364789.507
742,Red-necked Phalarope,Shorebirds,All,May-98,Count,NA,Esquimalt,468250.1392,5364502.251
743,Bonaparte's Gull,Gulls and Terns,All,May-98,Count,112,Sooke,451962.5481,5358415.832
744,Heermann's Gull,Gulls and Terns,All,May-98,Count,NA,Sooke,451587.763,5357889.33
745,Mew Gull,Gulls and Terns,All,May-98,Count,21,Esquimalt,467307.1416,5366433.795
746,California Gull,Gulls and Terns,All,May-98,Count,NA,Sooke,452052.444,5357879.254
747,Thayer's Gull,Gulls and Terns,All,May-98,Count,NA,Sooke,450365.4271,5359349.151
748,Glaucous-winged Gull,Gulls and Terns,All,May-98,Count,288,Esquimalt,466528.4863,5366715.683
749,Western Gull,Gulls and Terns,All,May-98,Count,NA,Sooke,452506.9549,5357339.621
750,gull sp.,Gulls and Terns,All,May-98,Count,NA,Esquimalt,466554.7037,5366712.983
751,Caspian Tern,Gulls and Terns,All,May-98,Count,NA,Esquimalt,466616.4122,5366911.898
752,Common Murra,Auks,All,May-98,Count,NA,Sooke,451654.9366,5358292.788
753,Pigeon Guillemot,Auks,All,May-98,Count,2,Sooke,452405.9262,5358379.78
754,Marbled Murrrelet,Auks,All,May-98,Count,NA,Esquimalt,468587.4699,5364726.066
755,Cassln's Auklet,Auks,All,May-98,Count,NA,Sooke,451533.6129,5358325.402
756,Rhinoceros Auklet,Auks,All,May-98,Count,1,Sooke,449585.5196,5359104.645
757,Pied-billed Grebe,Loons and Grebes,A,May-98,Count,NA,Sooke,452799.4331,5358019.306
758,Horned Grebe,Loons and Grebes,A,May-98,Count,NA,Esquimalt,467548.752,5364760.743
759,Western Grebe,Loons and Grebes,A,May-98,Count,NA,Esquimalt,466666.3532,5366459.907
760,Double-crested Cormorant,Cormorants,A,May-98,Count,7,Sooke,450330.4975,5357397.767
761,Great Blue Heron,Herons,A,May-98,Count,5,Sooke,451698.8561,5357248.999
762,Mute Swan,Waterfowl,A,May-98,Count,NA,Esquimalt,467425.0212,5364566.977
763,Canada Goose,Waterfowl,A,May-98,Count,21,Esquimalt,466499.9791,5367073.397
764,Wood Duck,Waterfowl,A,May-98,Count,2,Sooke,452016.4924,5358203.467
765,Green-winged Teal,Waterfowl,A,May-98,Count,2,Sooke,451927.221,5359226.262
766,Gadwall,Waterfowl,A,May-98,Count,NA,Esquimalt,466836.2599,5366657.234
767,Mallard,Waterfowl,A,May-98,Count,111,Esquimalt,466890.1868,5365594.449
768,Northern Pintail,Waterfowl,A,May-98,Count,NA,Esquimalt,466999.4035,5365387.341
769,Eurasian Wigeon,Waterfowl,A,May-98,Count,NA,Esquimalt,468329.4939,5364323.332
770,American Wigeon,Waterfowl,A,May-98,Count,NA,Sooke,450335.2509,5357575.971
771,Canvasback,Waterfowl,A,May-98,Count,NA,Esquimalt,467714.0201,5365787.774
772,Greater Scaup,Waterfowl,A,May-98,Count,11,Sooke,452823.9715,5357092.509
773,Lesser Scaup,Waterfowl,A,May-98,Count,NA,Esquimalt,467716.6278,5364793.425
774,Scaup sp.,Waterfowl,A,May-98,Count,NA,Esquimalt,467741.9289,5365087.875
775,Surf Scoter,Waterfowl,A,May-98,Count,NA,Esquimalt,467725.7032,5366114.837
776,Common Goldeneye,Waterfowl,A,May-98,Count,7,Sooke,451504.0845,5359656.753
777,Bufflehead,Waterfowl,A,May-98,Count,2,Sooke,449425.3526,5359388.919
778,Hooded Merganser,Waterfowl,A,May-98,Count,NA,Esquimalt,466745.7102,5366099.712
779,Common Merganser,Waterfowl,A,May-98,Count,NA,Sooke,450160.8362,5358146.698
780,American Coot,Coots,A,May-98,Count,NA,Esquimalt,467330.2871,5364582.65
781,Killdeer,Shorebirds,A,May-98,Count,NA,Sooke,450187.5622,5358188.64
782,Western Sandpiper,Shorebirds,A,May-98,Count,7,Sooke,451593.127,5357428.819
783,California Gull,Gulls and Terns,A,May-98,Count,NA,Sooke,451205.6394,5357546.348
784,Glaucous-winged Gull,Gulls and Terns,A,May-98,Count,38,Sooke,452457.5241,5359262.617
785,Belted Kingfisher,Kingfishers,A,May-98,Count,NA,Esquimalt,468068.4475,5365578.975
786,Double-crested Cormorant,Cormorants,B,May-98,Count,3,Sooke,449889.985,5358913.139
787,Great Blue Heron,Herons,B,May-98,Count,NA,Sooke,451918.8499,5358533.9
788,Trumpeter Swan,Waterfowl,B,May-98,Count,NA,Esquimalt,467785.3385,5365918.815
789,Canada Goose,Waterfowl,B,May-98,Count,16,Esquimalt,467431.4915,5365440.936
790,Mallard,Waterfowl,B,May-98,Count,NA,Esquimalt,467244.556,5366106.917
791,Eurasian Wigeon,Waterfowl,B,May-98,Count,NA,Esquimalt,467112.3739,5365660.977
792,American Wigeon,Waterfowl,B,May-98,Count,NA,Sooke,451811.0863,5358559.676
793,Canvasback,Waterfowl,B,May-98,Count,NA,Esquimalt,466360.8775,5367052.335
794,Greater Scaup,Waterfowl,B,May-98,Count,NA,Sooke,450172.7612,5358215.051
795,scaup sp.,Waterfowl,B,May-98,Count,NA,Esquimalt,468806.8524,5364583.248
796,Bufflehead,Waterfowl,B,May-98,Count,NA,Esquimalt,467229.3561,5366460.094
797,Hooded Merganser,Waterfowl,B,May-98,Count,NA,Esquimalt,467297.5872,5364771.422
798,Common Merganser,Waterfowl,B,May-98,Count,NA,Esquimalt,467058.6456,5364941.246
799,Red-breasted Merganser,Waterfowl,B,May-98,Count,NA,Esquimalt,467876.7901,5365220.133
800,Western Sandpiper,Shorebirds,B,May-98,Count,NA,Sooke,452344.5197,5358122.054
801,Least Sandpiper,Shorebirds,B,May-98,Count,NA,Esquimalt,467088.8834,5366208.784
802,Mew Gull,Gulls and Terns,B,May-98,Count,NA,Sooke,449623.179,5359181.157
803,California Gull,Gulls and Terns,B,May-98,Count,NA,Esquimalt,467765.7986,5365820.522
804,Glaucous-winged Gull,Gulls and Terns,B,May-98,Count,12,Sooke,451697.7369,5357395.559
805,Belted Kingfisher,Kingfishers,B,May-98,Count,NA,Esquimalt,467867.6912,5365816.629
806,Red-throated Loon,Loons and Grebes,All,Sep-98,Count,1,Esquimalt,466881.0497,5366495.439
807,Pacific Loon,Loons and Grebes,All,Sep-98,Count,NA,Sooke,452047.4749,5357959.404
808,Common Loon,Loons and Grebes,All,Sep-98,Count,2,Sooke,451990.9021,5359025.87
809,Yellow-billed Loon,Loons and Grebes,All,Sep-98,Count,NA,Esquimalt,468470.3882,5364584.771
810,Pied--bllled Grebe,Loons and Grebes,All,Sep-98,Count,NA,Esquimalt,467645.0608,5365486.235
811,Eared Grebe,Loons and Grebes,All,Sep-98,Count,NA,Sooke,452744.083,5357699.879
812,Red-necked Grebe,Loons and Grebes,All,Sep-98,Count,1,Esquimalt,467548.7488,5364463.295
813,Horned Grebe,Loons and Grebes,All,Sep-98,Count,NA,Sooke,450921.8738,5358634.53
814,Western Grebe,Loons and Grebes,All,Sep-98,Count,1,Esquimalt,467076.3439,5365910.929
815,Double-crested Cormorant,Cormorants,All,Sep-98,Count,25,Esquimalt,467122.6299,5366383.641
816,Brandt's Cormorant,Cormorants,All,Sep-98,Count,NA,Esquimalt,466833.047,5365397.866
817,Pelagic Cormorant,Cormorants,All,Sep-98,Count,1,Esquimalt,467963.1031,5364720.444
818,Great Blue Heron,Herons,All,Sep-98,Count,9,Sooke,452793.6546,5359379.132
819,Mute Swan,Waterfowl,All,Sep-98,Count,11,Sooke,452816.1531,5359528.938
820,Trumpeter Swan,Waterfowl,All,Sep-98,Count,NA,Esquimalt,467060.9519,5365295.479
821,Canada Goose,Waterfowl,All,Sep-98,Count,72,Esquimalt,467512.5613,5366042.906
822,Brant,Waterfowl,All,Sep-98,Count,NA,Sooke,450573.922,5357845.329
823,Wood Duck,Waterfowl,All,Sep-98,Count,NA,Esquimalt,466820.538,5366607.136
824,Green-winged Teal,Waterfowl,All,Sep-98,Count,NA,Sooke,452347.4607,5358782.962
825,Gadwall,Waterfowl,All,Sep-98,Count,NA,Sooke,451445.2334,5357515.483
826,Mallard,Waterfowl,All,Sep-98,Count,418,Esquimalt,467631.6043,5365900.557
827,Northern Pintail,Waterfowl,All,Sep-98,Count,1,Sooke,449504.4454,5359415.578
828,Eurasian Wigeon,Waterfowl,All,Sep-98,Count,NA,Esquimalt,467785.2413,5365619.47
829,American Wigeon,Waterfowl,All,Sep-98,Count,17,Sooke,450151.908,5357765.087
830,Canvasback,Waterfowl,All,Sep-98,Count,NA,Esquimalt,466618.5334,5367148.776
831,Greater Scaup,Waterfowl,All,Sep-98,Count,NA,Sooke,452078.2233,5358228.926
832,Lesser Scaup,Waterfowl,All,Sep-98,Count,NA,Esquimalt,468042.2035,5365631.63
833,scaup sp.,Waterfowl,All,Sep-98,Count,NA,Esquimalt,468191.0585,5364660.517
834,Harlequin Duck,Waterfowl,All,Sep-98,Count,NA,Sooke,450420.1401,5357245.423
835,Oldsquaw,Waterfowl,All,Sep-98,Count,NA,Sooke,451447.3056,5358633.891
836,Surf Seater,Waterfowl,All,Sep-98,Count,NA,Sooke,452634.7509,5358691.224
837,White-w inged Scoter,Waterfowl,All,Sep-98,Count,NA,Esquimalt,467587.0867,5365613.232
838,Common Goldeneye,Waterfowl,All,Sep-98,Count,NA,Esquimalt,467985.3528,5364899.827
839,Bufflehead,Waterfowl,All,Sep-98,Count,NA,Esquimalt,467298.8333,5365656.042
840,Hooded Merganser,Waterfowl,All,Sep-98,Count,3,Sooke,451469.2938,5358517.064
841,Common Merganser,Waterfowl,All,Sep-98,Count,9,Sooke,452566.8984,5358163.773
842,Red-breasted Merganser,Waterfowl,All,Sep-98,Count,NA,Esquimalt,467894.7159,5365757.169
843,American Coot,Coots,All,Sep-98,Count,2,Esquimalt,467251.2029,5366542.543
844,Semipalmated Plover,Shorebirds,All,Sep-98,Count,NA,Esquimalt,466776.662,5365379.744
845,Killdeer,Shorebirds,All,Sep-98,Count,21,Sooke,451720.7552,5359074.856
846,Black-bellied Plover,Shorebirds,All,Sep-98,Count,15,Sooke,449604.4291,5359524.602
847,Black Oystercatcher,Shorebirds,All,Sep-98,Count,6,Sooke,451566.1005,5359138.437
848,Greater Yellowlegs,Shorebirds,All,Sep-98,Count,NA,Sooke,452634.9511,5359350.856
849,Ruddy Turnstone,Shorebirds,All,Sep-98,Count,NA,Sooke,451419.3797,5357486.117
850,Black Turnstone,Shorebirds,All,Sep-98,Count,51,Esquimalt,467289.2457,5366309.979
851,Dunlin,Shorebirds,All,Sep-98,Count,NA,Sooke,451253.4746,5358373.524
852,Western Sandpiper,Shorebirds,All,Sep-98,Count,NA,Esquimalt,467917.5297,5364634.032
853,Least Sandpiper,Shorebirds,All,Sep-98,Count,NA,Esquimalt,467049.8312,5365830.543
854,Sanderllng,Shorebirds,All,Sep-98,Count,NA,Sooke,452167.6853,5358034.766
855,Short-billed Dowitcher,Shorebirds,All,Sep-98,Count,NA,Esquimalt,467142.7075,5365567.121
856,Common Snipe,Shorebirds,All,Sep-98,Count,NA,Sooke,451777.1345,5358574.184
857,Red-necked Phalarope,Shorebirds,All,Sep-98,Count,NA,Sooke,451112.6935,5357358.985
858,Bonaparte's Gull,Gulls and Terns,All,Sep-98,Count,3,Esquimalt,467838.3169,5365065.838
859,Heermann's Gull,Gulls and Terns,All,Sep-98,Count,34,Sooke,450101.2084,5359277.237
860,Mew Gull,Gulls and Terns,All,Sep-98,Count,299,Esquimalt,468518.8039,5364535.662
861,California Gull,Gulls and Terns,All,Sep-98,Count,82,Sooke,451906.1921,5358257.628
862,Thayer's Gull,Gulls and Terns,All,Sep-98,Count,NA,Sooke,451107.7676,5357480.449
863,Glaucous-winged Gull,Gulls and Terns,All,Sep-98,Count,403,Sooke,449652.7484,5358444.644
864,Western Gull,Gulls and Terns,All,Sep-98,Count,NA,Esquimalt,467275.632,5366473.731
865,gull sp.,Gulls and Terns,All,Sep-98,Count,NA,Esquimalt,467672.8204,5365349.658
866,Caspian Tern,Gulls and Terns,All,Sep-98,Count,NA,Sooke,452828.9198,5357170.109
867,Common Murra,Auks,All,Sep-98,Count,22,Sooke,450247.2276,5359141.607
868,Pigeon Guillemot,Auks,All,Sep-98,Count,NA,Esquimalt,467550.6842,5364882.608
869,Marbled Murrrelet,Auks,All,Sep-98,Count,NA,Esquimalt,467289.6926,5365827.86
870,Cassln's Auklet,Auks,All,Sep-98,Count,NA,Esquimalt,467732.8813,5364889.537
871,Rhinoceros Auklet,Auks,All,Sep-98,Count,160,Sooke,452482.9483,5358654.716
872,Pied-billed Grebe,Loons and Grebes,A,Sep-98,Count,3,Sooke,452604.1696,5357412.658
873,Horned Grebe,Loons and Grebes,A,Sep-98,Count,1,Sooke,449897.2533,5358691.326
874,Western Grebe,Loons and Grebes,A,Sep-98,Count,NA,Esquimalt,467494.0967,5365207.154
875,Double-crested Cormorant,Cormorants,A,Sep-98,Count,NA,Esquimalt,466325.3801,5366928.95
876,Great Blue Heron,Herons,A,Sep-98,Count,NA,Sooke,451706.5203,5357903.327
877,Mute Swan,Waterfowl,A,Sep-98,Count,5,Esquimalt,466398.7025,5367187.03
878,Canada Goose,Waterfowl,A,Sep-98,Count,34,Esquimalt,467364.8697,5366231.511
879,Wood Duck,Waterfowl,A,Sep-98,Count,NA,Esquimalt,467296.5404,5366100.165
880,Green-winged Teal,Waterfowl,A,Sep-98,Count,NA,Esquimalt,467576.9015,5364534.564
881,Gadwall,Waterfowl,A,Sep-98,Count,NA,Sooke,451652.6137,5357523.571
882,Mallard,Waterfowl,A,Sep-98,Count,192,Sooke,452158.011,5357919.56
883,Northern Pintail,Waterfowl,A,Sep-98,Count,NA,Esquimalt,466791.8486,5365842.968
884,Eurasian Wigeon,Waterfowl,A,Sep-98,Count,NA,Esquimalt,467069.0877,5366460.315
885,American Wigeon,Waterfowl,A,Sep-98,Count,NA,Sooke,450843.6521,5358528.146
886,Canvasback,Waterfowl,A,Sep-98,Count,NA,Esquimalt,467306.8376,5365077.403
887,Greater Scaup,Waterfowl,A,Sep-98,Count,NA,Sooke,450659.8976,5357758.125
888,Lesser Scaup,Waterfowl,A,Sep-98,Count,NA,Esquimalt,467405.0307,5364372.386
889,Scaup sp.,Waterfowl,A,Sep-98,Count,NA,Esquimalt,467100.7936,5364909.362
890,Surf Scoter,Waterfowl,A,Sep-98,Count,NA,Sooke,450979.1184,5357852.871
891,Common Goldeneye,Waterfowl,A,Sep-98,Count,NA,Esquimalt,466953.6064,5364798.687
892,Bufflehead,Waterfowl,A,Sep-98,Count,NA,Sooke,452002.0237,5357882.24
893,Hooded Merganser,Waterfowl,A,Sep-98,Count,2,Esquimalt,466585.8489,5366827.98
894,Common Merganser,Waterfowl,A,Sep-98,Count,NA,Sooke,450936.1746,5358529.191
895,American Coot,Coots,A,Sep-98,Count,NA,Sooke,451379.0159,5359472.535
896,Killdeer,Shorebirds,A,Sep-98,Count,11,Esquimalt,466356.6197,5367157.557
897,Western Sandpiper,Shorebirds,A,Sep-98,Count,NA,Esquimalt,467209.5109,5366405.365
898,California Gull,Gulls and Terns,A,Sep-98,Count,NA,Sooke,450565.6082,5358295.028
899,Glaucous-winged Gull,Gulls and Terns,A,Sep-98,Count,14,Esquimalt,468190.8528,5364358.857
900,Belted Kingfisher,Kingfishers,A,Sep-98,Count,1,Sooke,452081.5901,5357378.526
901,Double-crested Cormorant,Cormorants,B,Sep-98,Count,10,Esquimalt,467275.0499,5364803.121
902,Great Blue Heron,Herons,B,Sep-98,Count,NA,Sooke,449926.5947,5359349.301
903,Trumpeter Swan,Waterfowl,B,Sep-98,Count,NA,Esquimalt,466479.5177,5366576.696
904,Canada Goose,Waterfowl,B,Sep-98,Count,3,Esquimalt,466854.1333,5364491.925
905,Mallard,Waterfowl,B,Sep-98,Count,20,Esquimalt,467265.2883,5366266.034
906,Eurasian Wigeon,Waterfowl,B,Sep-98,Count,NA,Sooke,451003.9671,5359206.215
907,American Wigeon,Waterfowl,B,Sep-98,Count,NA,Esquimalt,466651.0833,5366555.41
908,Canvasback,Waterfowl,B,Sep-98,Count,NA,Esquimalt,467548.5535,5365141.223
909,Greater Scaup,Waterfowl,B,Sep-98,Count,NA,Sooke,451208.6677,5359103.561
910,scaup sp.,Waterfowl,B,Sep-98,Count,NA,Sooke,452056.203,5357837.927
911,Bufflehead,Waterfowl,B,Sep-98,Count,NA,Sooke,451089.7058,5358977.975
912,Hooded Merganser,Waterfowl,B,Sep-98,Count,NA,Esquimalt,467785.2668,5365011.708
913,Common Merganser,Waterfowl,B,Sep-98,Count,NA,Sooke,451794.8161,5358631.087
914,Red-breasted Merganser,Waterfowl,B,Sep-98,Count,NA,Sooke,452345.4754,5358493.442
915,Western Sandpiper,Shorebirds,B,Sep-98,Count,NA,Esquimalt,466938.7763,5366313.555
916,Least Sandpiper,Shorebirds,B,Sep-98,Count,NA,Esquimalt,468202.7272,5364542.18
917,Mew Gull,Gulls and Terns,B,Sep-98,Count,NA,Esquimalt,467379.0836,5365938.743
918,California Gull,Gulls and Terns,B,Sep-98,Count,NA,Sooke,451109.5642,5357556.136
919,Glaucous-winged Gull,Gulls and Terns,B,Sep-98,Count,10,Sooke,450420.9124,5359064.605
920,Belted Kingfisher,Kingfishers,B,Sep-98,Count,1,Sooke,451381.5087,5358922.697
921,Red-throated Loon,Loons and Grebes,All,Jan/Feb 1999,Count,2,Sooke,452089.6508,5358686.484
922,Pacific Loon,Loons and Grebes,All,Jan/Feb 1999,Count,13,Sooke,452202.2507,5359143.936
923,Common Loon,Loons and Grebes,All,Jan/Feb 1999,Count,2,Esquimalt,467030.8401,5366665.818
924,Yellow-billed Loon,Loons and Grebes,All,Jan/Feb 1999,Count,NA,Sooke,450909.3456,5357248.452
925,Pied--bllled Grebe,Loons and Grebes,All,Jan/Feb 1999,Count,4,Esquimalt,467236.9388,5365024.106
926,Eared Grebe,Loons and Grebes,All,Jan/Feb 1999,Count,NA,Esquimalt,466188.8035,5367072.039
927,Red-necked Grebe,Loons and Grebes,All,Jan/Feb 1999,Count,24,Sooke,451841.8077,5358751.681
928,Horned Grebe,Loons and Grebes,All,Jan/Feb 1999,Count,11,Sooke,452712.8913,5359215.74
929,Western Grebe,Loons and Grebes,All,Jan/Feb 1999,Count,2,Esquimalt,467314.458,5364470.822
930,Double-crested Cormorant,Cormorants,All,Jan/Feb 1999,Count,61,Esquimalt,467074.3834,5364980.364
931,Brandt's Cormorant,Cormorants,All,Jan/Feb 1999,Count,3,Esquimalt,467227.1509,5364832.316
932,Pelagic Cormorant,Cormorants,All,Jan/Feb 1999,Count,7,Sooke,450742.4462,5358848.446
933,Great Blue Heron,Herons,All,Jan/Feb 1999,Count,9,Esquimalt,467878.5825,5365209.471
